приложения недоступен	application unavailable	Anwendung nicht verfügbar	aplicación no disponible
из 3 звёзд	of 3 stars	von 3 Sternen	de 3 estrellas
Перейти к следующему уровню	Go to next level	Zum nächsten Level	Ir al siguiente nivel
Повторить текущий уровень	Retry this level	Dieses Level wiederholen	Repetir este nivel
Вернуться в меню уровней	Return to levels	Zurück zur Levelauswahl	Volver a los niveles
Как получить звёзды	How to earn stars	So verdienst du Sterne	Cómo ganar estrellas
выполнить все цели уровня.	complete all level goals.	erfülle alle Levelziele.	cumple todos los objetivos.
выполнить цели, сохранив не меньше 8% ходов, либо набрать порог 2 звёзд по очкам.	complete the goals with at least 8% of moves left, or reach the 2-star score threshold.	erfülle die Ziele mit mindestens 8% übrigen Zügen oder erreiche die Punkteschwelle für 2 Sterne.	cumple los objetivos con al menos un 8% de movimientos restantes o alcanza la puntuación de 2 estrellas.
выполнить цели, сохранив не меньше 20% ходов, либо набрать порог 3 звёзд по очкам.	complete the goals with at least 20% of moves left, or reach the 3-star score threshold.	erfülle die Ziele mit mindestens 20% übrigen Zügen oder erreiche die Punkteschwelle für 3 Sterne.	cumple los objetivos con al menos un 20% de movimientos restantes o alcanza la puntuación de 3 estrellas.
Особый усилитель	Special booster	Spezialverstärker	Potenciador especial
Смахните радугу с символом — исчезнут все такие фишки на поле.	Swap the rainbow with a symbol to clear every matching piece.	Tausche den Regenbogen mit einem Symbol, um alle Steine dieser Art zu entfernen.	Intercambia el arcoíris con un símbolo para eliminar todas las fichas de ese tipo.
соедините соседнюю пару	combine an adjacent pair	kombiniere ein benachbartes Paar	combina una pareja adyacente
Особые фишки уже на поле — просто смахните нужную фишку.	Special pieces are on the board — swipe one to use it.	Spezialsteine liegen bereits auf dem Feld — wische den gewünschten Stein.	Las fichas especiales ya están en el tablero: desliza la que quieras usar.
Вход	Sign in	Anmelden	Iniciar sesión
Свой прогресс на этом устройстве	Your progress on this device	Dein Fortschritt auf diesem Gerät	Tu progreso en este dispositivo
Введите свой	Enter your	Gib deine Kennung ein:	Introduce tu
бот пришлёт код подтверждения.	the bot will send a verification code.	der Bot sendet dir einen Bestätigungscode.	el bot enviará un código de verificación.
После входа звёзды, уровни и рейтинг будут те же, что в	After signing in, your stars, levels and ranking will match those in	Nach der Anmeldung entsprechen deine Sterne, Level und Rangliste denen in	Al iniciar sesión, tus estrellas, niveles y clasificación serán los mismos que en
Например, 123456789	For example, 123456789	Zum Beispiel 123456789	Por ejemplo, 123456789
Узнать	Find your	Erfahre deine	Consulta tu
можно у бота	from the bot	beim Bot	en el bot
он ответит числом.	it will reply with a number.	er antwortet mit einer Zahl.	responderá con un número.
Получить код	Get code	Code anfordern	Obtener código
Играть без входа	Play without signing in	Ohne Anmeldung spielen	Jugar sin iniciar sesión
Подтверждение	Verification	Bestätigung	Verificación
Код отправлен в	Code sent to	Code gesendet an	Código enviado a
Откройте бота и введите шестизначный код. Он действует десять минут.	Open the bot and enter the six-digit code. It is valid for ten minutes.	Öffne den Bot und gib den sechsstelligen Code ein. Er gilt zehn Minuten.	Abre el bot e introduce el código de seis dígitos. Es válido durante diez minutos.
Код из бота	Code from bot	Code vom Bot	Código del bot
Войти	Sign in	Anmelden	Entrar
Изменить	Change	Ändern	Cambiar
это число из пяти и более цифр	is a number with at least five digits	ist eine Zahl mit mindestens fünf Ziffern	es un número de al menos cinco dígitos
Откройте	Open	Öffne	Abre
нажмите	tap	tippe auf	pulsa
и попробуйте снова	and try again	und versuche es erneut	e inténtalo de nuevo
Введите шесть цифр из сообщения бота	Enter the six digits from the bot message	Gib die sechs Ziffern aus der Botnachricht ein	Introduce los seis dígitos del mensaje del bot
Иконка профиля	Profile icon	Profilsymbol	Icono de perfil
Режим поля	Board mode	Spielfeldmodus	Modo de tablero
Классика	Classic	Klassisch	Clásico
Змейка	Snake	Schlange	Serpiente
Проведите по буквам	Swipe across letters	Streiche über die Buchstaben	Desliza por las letras
Комбо ×1	Combo ×1	Kombo ×1	Combo ×1
Глава 1	Chapter 1	Kapitel 1	Capítulo 1
Основы	Basics	Grundlagen	Fundamentos
Глава 2	Chapter 2	Kapitel 2	Capítulo 2
Мир Библии	World of the Bible	Welt der Bibel	Mundo de la Biblia
Глава 3	Chapter 3	Kapitel 3	Capítulo 3
Люди и места	People and places	Menschen und Orte	Personas y lugares
Глава 4	Chapter 4	Kapitel 4	Capítulo 4
Истории и вера	Stories and faith	Geschichten und Glaube	Historias y fe
Глава 5	Chapter 5	Kapitel 5	Capítulo 5
Судьи, цари и книги	Judges, kings and books	Richter, Könige und Bücher	Jueces, reyes y libros
Глава 6	Chapter 6	Kapitel 6	Capítulo 6
Живой мир	Living world	Lebendige Welt	Mundo vivo
Глава 7	Chapter 7	Kapitel 7	Capítulo 7
Святилище и служение	Sanctuary and ministry	Heiligtum und Dienst	Santuario y servicio
Глава 8	Chapter 8	Kapitel 8	Capítulo 8
Земля Библии	Bible lands	Länder der Bibel	Tierras bíblicas
Глава 9	Chapter 9	Kapitel 9	Capítulo 9
Новый Завет и грядущее	New Testament and things to come	Neues Testament und Zukunft	Nuevo Testamento y lo venidero
Глава	Chapter	Kapitel	Capítulo
Комбо	Combo	Kombo	Combo
Свиток бонусов	Bonus scroll	Bonusschriftrolle	Pergamino de bonificaciones
Отпустите, чтобы проверить	Release to check	Zum Prüfen loslassen	Suelta para comprobar
АБВГДЕЖЗИКЛМНОПРСТУФХЦЧШЩЭЮЯ	ABCDEFGHIJKLMNOPQRSTUVWXYZ	ABCDEFGHIJKLMNOPQRSTUVWXYZÄÖÜ	ABCDEFGHIJKLMNÑOPQRSTUVWXYZ
Выберите уровень сложности	Choose difficulty	Schwierigkeitsgrad wählen	Elige la dificultad
Лёгкий	Easy	Leicht	Fácil
Средний	Medium	Mittel	Medio
Тяжёлый	Hard	Schwer	Difícil
Ошибка загрузки слов	Could not load words	Wörter konnten nicht geladen werden	Error al cargar palabras
Команда	Team	Team	Equipo
Время раунда	Round duration	Rundendauer	Duración de la ronda
мин 30 сек	min 30 sec	Min. 30 Sek.	min 30 s
Допустимо от 1 до 180 секунд	Allowed: 1 to 180 seconds	Erlaubt: 1 bis 180 Sekunden	De 1 a 180 segundos
Количество команд	Number of teams	Anzahl der Teams	Número de equipos
Измените при необходимости	Change if needed	Bei Bedarf ändern	Cambia si es necesario
